"Tiempo (s) Run #1,""Voltaje (V) Run #1"",""Tiempo (s) Run #2"",""Voltaje (V) Run #2"",""Tiempo (s) Run #3"",""Voltaje (V) Run #3"",""Tiempo (s) Run #4"",""Voltaje (V) Run #4"""
,,46.900,0.000,,,46.900,0.017
,,47.000,0.000,,,47.000,0.016
,,47.100,0.000,,,47.100,0.016
,,47.200,0.000,,,47.200,0.016
,,47.300,0.000,,,47.300,0.017
,,47.400,0.000,,,47.400,0.016
,,47.500,0.000,,,47.500,0.016
,,47.600,6.104E-4,,,47.600,0.016
,,47.700,0.000,,,47.700,0.017
,,47.800,6.104E-4,,,47.800,0.016
,,47.900,6.104E-4,,,47.900,0.015
,,48.000,0.000,,,48.000,0.016
,,48.100,0.002,,,48.100,0.015
,,48.200,6.104E-4,,,48.200,0.016
,,48.300,6.104E-4,,,48.300,0.016
,,48.400,0.001,,,48.400,0.015
,,48.500,0.002,,,48.500,0.016
,,48.600,0.001,,,48.600,0.015
,,48.700,0.001,,,48.700,0.015
,,48.800,6.104E-4,,,48.800,0.015
,,48.900,0.002,,,48.900,0.017
,,49.000,0.002,,,49.000,0.015
,,49.100,0.002,,,49.100,0.015
,,49.200,0.004,,,49.200,0.016
,,49.300,0.004,,,49.300,0.016
,,49.400,0.005,,,49.400,0.016
,,49.500,0.004,,,49.500,0.015
,,49.600,0.005,,,49.600,0.015
,,49.700,0.004,,,49.700,0.015
,,49.800,0.005,,,49.800,0.015
,,49.900,0.005,,,49.900,0.015
,,50.000,0.005,,,50.000,0.015
,,50.100,0.005,,,50.100,0.015
,,50.200,0.004,,,50.200,0.015
,,50.300,0.005,,,50.300,0.015
,,50.400,0.005,,,50.400,0.015
,,50.500,0.005,,,50.500,0.015
,,50.600,0.006,,,50.600,0.015
,,50.700,0.006,,,50.700,0.015
,,50.800,0.005,,,50.800,0.015
,,50.900,0.005,,,50.900,0.014
,,51.000,0.007,,,51.000,0.015
,,51.100,0.005,,,51.100,0.015
,,51.200,0.007,,,51.200,0.015
,,51.300,0.006,,,51.300,0.015
,,51.400,0.005,,,51.400,0.015
,,51.500,0.005,,,51.500,0.015
,,51.600,0.005,,,51.600,0.015
,,51.700,0.005,,,51.700,0.015
,,51.800,0.005,,,51.800,0.015
,,51.900,0.005,,,51.900,0.015
,,52.000,0.005,,,52.000,0.014
,,52.100,0.005,,,52.100,0.014
,,52.200,0.005,,,52.200,0.014
,,52.300,0.005,,,52.300,0.015
,,52.400,0.005,,,52.400,0.014
,,52.500,0.006,,,52.500,0.015
,,52.600,0.007,,,52.600,0.014
,,52.700,0.007,,,52.700,0.015
,,52.800,0.009,,,52.800,0.014
,,52.900,0.008,,,52.900,0.015
,,53.000,0.008,,,53.000,0.014
,,53.100,0.006,,,53.100,0.013
,,53.200,0.007,,,53.200,0.014
,,53.300,0.005,,,53.300,0.014
,,53.400,0.005,,,53.400,0.014
,,53.500,0.005,,,53.500,0.013
,,53.600,0.003,,,53.600,0.015
,,53.700,0.004,,,53.700,0.015
,,53.800,0.004,,,53.800,0.013
,,53.900,0.003,,,53.900,0.014
,,54.000,0.002,,,54.000,0.013
,,54.100,0.002,,,54.100,0.013
,,54.200,0.005,,,54.200,0.013
,,54.300,0.005,,,54.300,0.013
,,54.400,0.005,,,54.400,0.013
,,54.500,0.007,,,54.500,0.014
,,54.600,0.006,,,54.600,0.013
,,54.700,0.007,,,54.700,0.013
,,54.800,0.008,,,54.800,0.013
,,54.900,0.008,,,54.900,0.014
,,55.000,0.009,,,55.000,0.012
,,55.100,0.008,,,55.100,0.013
,,55.200,0.009,,,55.200,0.013
,,55.300,0.009,,,55.300,0.012
,,55.400,0.008,,,55.400,0.012
,,55.500,0.009,,,55.500,0.013
,,55.600,0.009,,,55.600,0.013
,,55.700,0.007,,,55.700,0.013
,,55.800,0.009,,,55.800,0.012
,,55.900,0.007,,,55.900,0.013
,,56.000,0.008,,,56.000,0.012
,,56.100,0.008,,,56.100,0.013
,,56.200,0.009,,,56.200,0.011
,,56.300,0.007,,,56.300,0.012
,,56.400,0.008,,,56.400,0.010
,,56.500,0.007,,,56.500,0.012
,,56.600,0.008,,,56.600,0.012
,,56.700,0.009,,,56.700,0.011
,,56.800,0.009,,,56.800,0.011
